cd_plano_conta_rel,ds_plano_conta,nivel,vl_abr,vl_abr_f,vl_ago,vl_ago_f,vl_atualizado,vl_atualizado_f,vl_dez,vl_dez_f,vl_fev,vl_fev_f,vl_jan,vl_jan_f,vl_jul,vl_jul_f,vl_jun,vl_jun_f,vl_mai,vl_mai_f,vl_mar,vl_mar_f,vl_nov,vl_nov_f,vl_out,vl_out_f,vl_periodo,vl_periodo_f,vl_previsto,vl_previsto_f,vl_set,vl_set_f,vl_total,vl_total_f
1.1.1.2.50.0.2.01,Imposto sobre a Propriedade Predial e Territorial Urbana - Multas e Juros,8,"R$ 170.217,10",170217.1,"R$ 304.571,55",304571.55,"R$ 3.777.000,00",3777000,"R$ 115.029,20",115029.2,"R$ 238.924,63",238924.63,"R$ 706.114,54",706114.54,"R$ 270.192,83",270192.83,"R$ 201.748,51",201748.51,"R$ 202.282,64",202282.64,"R$ 141.031,03",141031.03,"R$ 326.591,63",326591.63,"R$ 323.338,01",323338.01,,0,"R$ 3.777.000,00",3777000,"R$ 287.263,07",287263.07,"R$ 3.287.304,74",3287304.74
1.1.1.2.50.0.2.01.01,MULTA JUR. MORA IPTU,9,"R$ 170.217,10",170217.1,"R$ 304.571,55",304571.55,"R$ 3.777.000,00",3777000,"R$ 115.029,20",115029.2,"R$ 238.924,63",238924.63,"R$ 706.114,54",706114.54,"R$ 270.192,83",270192.83,"R$ 201.748,51",201748.51,"R$ 202.282,64",202282.64,"R$ 141.031,03",141031.03,"R$ 326.591,63",326591.63,"R$ 323.338,01",323338.01,,0,"R$ 3.777.000,00",3777000,"R$ 287.263,07",287263.07,"R$ 3.287.304,74",3287304.74
1.1.1.2.50.0.3,Imposto sobre a Propriedade Predial e Territorial Urbana - Dívida Ativa,7,"R$ 5.481.348,92",5481348.92,"R$ 5.109.841,16",5109841.16,"R$ 55.166.000,00",55166000,"R$ 1.853.852,83",1853852.83,"R$ 3.617.695,33",3617695.33,"R$ 3.031.475,79",3031475.79,"R$ 10.043.682,38",10043682.38,"R$ 13.515.179,54",13515179.54,"R$ 9.189.966,61",9189966.61,"R$ 3.302.770,89",3302770.89,"R$ 3.347.739,43",3347739.43,"R$ 3.996.785,09",3996785.09,,0,"R$ 55.166.000,00",55166000,"R$ 3.990.333,55",3990333.55,"R$ 66.480.671,52",66480671.52
1.1.1.2.50.0.3.01,Imposto sobre a Propriedade Predial e Territorial Urbana - Dívida Ativa,8,"R$ 5.481.348,92",5481348.92,"R$ 5.109.841,16",5109841.16,"R$ 55.166.000,00",55166000,"R$ 1.853.852,83",1853852.83,"R$ 3.617.695,33",3617695.33,"R$ 3.031.475,79",3031475.79,"R$ 10.043.682,38",10043682.38,"R$ 13.515.179,54",13515179.54,"R$ 9.189.966,61",9189966.61,"R$ 3.302.770,89",3302770.89,"R$ 3.347.739,43",3347739.43,"R$ 3.996.785,09",3996785.09,,0,"R$ 55.166.000,00",55166000,"R$ 3.990.333,55",3990333.55,"R$ 66.480.671,52",66480671.52
1.1.1.2.50.0.3.01.01,IPTU PRINCIPAL,9,"R$ 5.481.316,77",5481316.77,"R$ 5.109.804,25",5109804.25,"R$ 45.166.000,00",45166000,"R$ 1.853.852,83",1853852.83,"R$ 3.617.663,14",3617663.14,"R$ 3.031.444,73",3031444.73,"R$ 10.043.642,94",10043642.94,"R$ 13.515.145,01",13515145.01,"R$ 9.189.929,56",9189929.56,"R$ 3.302.736,22",3302736.22,"R$ 3.347.698,94",3347698.94,"R$ 3.996.745,80",3996745.8,,0,"R$ 45.166.000,00",45166000,"R$ 3.990.295,44",3990295.44,"R$ 66.480.275,63",66480275.63
1.1.1.2.50.0.3.01.02,DIVIDA ATIVA PARCELAMENTO,9,"R$ 32,15",32.15,"R$ 36,91",36.91,"R$ 10.000.000,00",10000000,"R$ 0,00",0,"R$ 32,19",32.19,"R$ 31,06",31.06,"R$ 39,44",39.44,"R$ 34,53",34.53,"R$ 37,05",37.05,"R$ 34,67",34.67,"R$ 40,49",40.49,"R$ 39,29",39.29,,0,"R$ 10.000.000,00",10000000,"R$ 38,11",38.11,"R$ 395,89",395.89
1.1.1.2.50.0.4,Imposto sobre a Propriedade Predial e Territorial Urbana - Dívida Ativa - Multas e Juros,7,"R$ 1.747.576,58",1747576.58,"R$ 1.403.327,53",1403327.53,"R$ 1.000.000,00",1000000,"R$ 702.820,54",702820.54,"R$ 1.529.223,85",1529223.85,"R$ 1.579.493,91",1579493.91,"R$ 2.408.630,48",2408630.48,"R$ 2.339.210,66",2339210.66,"R$ 1.533.938,37",1533938.37,"R$ 1.605.115,84",1605115.84,"R$ 1.398.360,04",1398360.04,"R$ 1.723.899,76",1723899.76,,0,"R$ 1.000.000,00",1000000,"R$ 1.654.152,11",1654152.11,"R$ 19.625.749,67",19625749.67
1.1.1.2.50.0.4.01,Imposto sobre a Propriedade Predial e Territorial Urbana - Dívida Ativa - Multas e Juros,8,"R$ 1.747.576,58",1747576.58,"R$ 1.403.327,53",1403327.53,"R$ 1.000.000,00",1000000,"R$ 702.820,54",702820.54,"R$ 1.529.223,85",1529223.85,"R$ 1.579.493,91",1579493.91,"R$ 2.408.630,48",2408630.48,"R$ 2.339.210,66",2339210.66,"R$ 1.533.938,37",1533938.37,"R$ 1.605.115,84",1605115.84,"R$ 1.398.360,04",1398360.04,"R$ 1.723.899,76",1723899.76,,0,"R$ 1.000.000,00",1000000,"R$ 1.654.152,11",1654152.11,"R$ 19.625.749,67",19625749.67
1.1.1.2.50.0.4.01.01,M.JUR.MORA DIV.AT.IPTU,9,"R$ 1.747.576,58",1747576.58,"R$ 1.403.327,53",1403327.53,"R$ 1.000.000,00",1000000,"R$ 702.820,54",702820.54,"R$ 1.529.223,85",1529223.85,"R$ 1.579.493,91",1579493.91,"R$ 2.408.630,48",2408630.48,"R$ 2.339.210,66",2339210.66,"R$ 1.533.938,37",1533938.37,"R$ 1.605.115,84",1605115.84,"R$ 1.398.360,04",1398360.04,"R$ 1.723.899,76",1723899.76,,0,"R$ 1.000.000,00",1000000,"R$ 1.654.152,11",1654152.11,"R$ 19.625.749,67",19625749.67
1.1.1.2.53,"Impostos sobre Transmissão ""Inter Vivos"" de Bens Imóveis e de Direitos Reais sobre Imóveis",5,"R$ 9.901.639,54",9901639.54,"R$ 12.227.662,75",12227662.75,"R$ 123.773.000,00",123773000,"R$ 2.032.141,35",2032141.35,"R$ 9.333.984,69",9333984.69,"R$ 8.147.319,56",8147319.56,"R$ 9.043.740,93",9043740.93,"R$ 7.633.832,79",7633832.79,"R$ 9.032.683,86",9032683.86,"R$ 8.643.547,06",8643547.06,"R$ 8.900.192,87",8900192.87,"R$ 10.365.919,06",10365919.06,,0,"R$ 123.773.000,00",123773000,"R$ 9.238.582,91",9238582.91,"R$ 104.501.247,37",104501247.37
1.1.1.2.53.0.1,"Impostos sobre Transmissão ""Inter Vivos"" de Bens Imóveis e de Direitos Reais sobre Imóveis - Principal",7,"R$ 9.870.548,90",9870548.9,"R$ 12.028.661,55",12028661.55,"R$ 122.856.000,00",122856000,"R$ 2.018.141,84",2018141.84,"R$ 9.272.064,52",9272064.52,"R$ 7.970.191,03",7970191.03,"R$ 9.005.503,00",9005503,"R$ 7.485.822,05",7485822.05,"R$ 9.015.266,89",9015266.89,"R$ 8.567.048,01",8567048.01,"R$ 8.860.012,76",8860012.76,"R$ 10.327.153,75",10327153.75,,0,"R$ 122.856.000,00",122856000,"R$ 9.209.959,58",9209959.58,"R$ 103.630.373,88",103630373.88
1.1.1.2.53.0.1.01,"Impostos sobre Transmissão ""Inter Vivos"" de Bens Imóveis e de Direitos Reais sobre Imóveis - Principal",8,"R$ 9.870.548,90",9870548.9,"R$ 12.028.661,55",12028661.55,"R$ 122.856.000,00",122856000,"R$ 2.018.141,84",2018141.84,"R$ 9.272.064,52",9272064.52,"R$ 7.970.191,03",7970191.03,"R$ 9.005.503,00",9005503,"R$ 7.485.822,05",7485822.05,"R$ 9.015.266,89",9015266.89,"R$ 8.567.048,01",8567048.01,"R$ 8.860.012,76",8860012.76,"R$ 10.327.153,75",10327153.75,,0,"R$ 122.856.000,00",122856000,"R$ 9.209.959,58",9209959.58,"R$ 103.630.373,88",103630373.88
1.1.1.2.53.0.1.01.01,ITBI,9,"R$ 9.870.548,90",9870548.9,"R$ 12.028.661,55",12028661.55,"R$ 122.856.000,00",122856000,"R$ 2.018.141,84",2018141.84,"R$ 9.272.064,52",9272064.52,"R$ 7.970.191,03",7970191.03,"R$ 9.005.503,00",9005503,"R$ 7.485.822,05",7485822.05,"R$ 9.015.266,89",9015266.89,"R$ 8.567.048,01",8567048.01,"R$ 8.860.012,76",8860012.76,"R$ 10.327.153,75",10327153.75,,0,"R$ 122.856.000,00",122856000,"R$ 9.209.959,58",9209959.58,"R$ 103.630.373,88",103630373.88
1.1.1.2.53.0.2,"Impostos sobre Transmissão ""Inter Vivos"" de Bens Imóveis e de Direitos Reais sobre Imóveis -  Multas e Juros",7,"R$ 18.789,40",18789.4,"R$ 108.450,36",108450.36,"R$ 613.000,00",613000,"R$ 10.889,97",10889.97,"R$ 48.856,64",48856.64,"R$ 165.065,26",165065.26,"R$ 18.669,97",18669.97,"R$ 8.391,43",8391.43,"R$ 6.126,01",6126.01,"R$ 27.342,86",27342.86,"R$ 34.608,95",34608.95,"R$ 16.536,67",16536.67,,0,"R$ 613.000,00",613000,"R$ 13.976,73",13976.73,"R$ 477.704,25",477704.25
1.1.1.2.53.0.2.01,MULTA JUR. MORA ITBI,8,"R$ 18.789,40",18789.4,"R$ 108.450,36",108450.36,"R$ 613.000,00",613000,"R$ 10.889,97",10889.97,"R$ 48.856,64",48856.64,"R$ 165.065,26",165065.26,"R$ 18.669,97",18669.97,"R$ 8.391,43",8391.43,"R$ 6.126,01",6126.01,"R$ 27.342,86",27342.86,"R$ 34.608,95",34608.95,"R$ 16.536,67",16536.67,,0,"R$ 613.000,00",613000,"R$ 13.976,73",13976.73,"R$ 477.704,25",477704.25
1.1.1.2.53.0.3,"Impostos sobre Transmissão ""Inter Vivos"" de Bens Imóveis e de Direitos Reais sobre Imóveis - Dívida Ativa",7,"R$ 75,83",75.83,"R$ 0,00",0,"R$ 300.000,00",300000,"R$ 106,51",106.51,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,"R$ 86.469,12",86469.12,"R$ 0,00",0,"R$ 7.139,50",7139.5,"R$ 0,00",0,"R$ 106,51",106.51,,0,"R$ 300.000,00",300000,"R$ 0,00",0,"R$ 93.897,47",93897.47
1.1.1.2.53.0.3.01,"Impostos sobre Transmissão ""Inter Vivos"" de Bens Imóveis e de Direitos Reais sobre Imóveis - Dívida Ativa",8,"R$ 75,83",75.83,"R$ 0,00",0,"R$ 300.000,00",300000,"R$ 106,51",106.51,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,"R$ 86.469,12",86469.12,"R$ 0,00",0,"R$ 7.139,50",7139.5,"R$ 0,00",0,"R$ 106,51",106.51,,0,"R$ 300.000,00",300000,"R$ 0,00",0,"R$ 93.897,47",93897.47
1.1.1.2.53.0.3.01.01,DIV AT TRIB ITBI PRINCIPAL,9,"R$ 75,83",75.83,"R$ 0,00",0,"R$ 300.000,00",300000,"R$ 106,51",106.51,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,"R$ 86.469,12",86469.12,"R$ 0,00",0,"R$ 7.139,50",7139.5,"R$ 0,00",0,"R$ 106,51",106.51,,0,"R$ 300.000,00",300000,"R$ 0,00",0,"R$ 93.897,47",93897.47
1.1.1.2.53.0.4,"Impostos sobre Transmissão ""Inter Vivos"" de Bens Imóveis e de Direitos Reais sobre Imóveis - Dívida Ativa - Multas e Juros",7,"R$ 12.225,41",12225.41,"R$ 90.550,84",90550.84,"R$ 4.000,00",4000,"R$ 3.003,03",3003.03,"R$ 13.063,53",13063.53,"R$ 12.063,27",12063.27,"R$ 19.567,96",19567.96,"R$ 53.150,19",53150.19,"R$ 11.290,96",11290.96,"R$ 42.016,69",42016.69,"R$ 5.571,16",5571.16,"R$ 22.122,13",22122.13,,0,"R$ 4.000,00",4000,"R$ 14.646,60",14646.6,"R$ 299.271,77",299271.77
1.1.1.2.53.0.4.01,"Impostos sobre Transmissão ""Inter Vivos"" de Bens Imóveis e de Direitos Reais sobre Imóveis - Dívida Ativa - Multas e Juros",8,"R$ 12.225,41",12225.41,"R$ 90.550,84",90550.84,"R$ 4.000,00",4000,"R$ 3.003,03",3003.03,"R$ 13.063,53",13063.53,"R$ 12.063,27",12063.27,"R$ 19.567,96",19567.96,"R$ 53.150,19",53150.19,"R$ 11.290,96",11290.96,"R$ 42.016,69",42016.69,"R$ 5.571,16",5571.16,"R$ 22.122,13",22122.13,,0,"R$ 4.000,00",4000,"R$ 14.646,60",14646.6,"R$ 299.271,77",299271.77
1.1.1.2.53.0.4.01.01,M.JUR.MORADIV.AT.ITBI,9,"R$ 12.225,41",12225.41,"R$ 90.550,84",90550.84,"R$ 4.000,00",4000,"R$ 3.003,03",3003.03,"R$ 13.063,53",13063.53,"R$ 12.063,27",12063.27,"R$ 19.567,96",19567.96,"R$ 53.150,19",53150.19,"R$ 11.290,96",11290.96,"R$ 42.016,69",42016.69,"R$ 5.571,16",5571.16,"R$ 22.122,13",22122.13,,0,"R$ 4.000,00",4000,"R$ 14.646,60",14646.6,"R$ 299.271,77",299271.77
1.1.1.3,Impostos sobre a Renda e Proventos de Qualquer Natureza,4,"R$ 17.353.395,47",17353395.47,"R$ 18.160.045,81",18160045.81,"R$ 261.914.000,00",261914000,"R$ 33.486,66",33486.66,"R$ 21.567.662,63",21567662.63,"R$ 15.131.776,83",15131776.83,"R$ 22.564.879,34",22564879.34,"R$ 26.536.108,64",26536108.64,"R$ 22.935.618,78",22935618.78,"R$ 21.047.084,37",21047084.37,"R$ 18.612.088,04",18612088.04,"R$ 18.430.234,29",18430234.29,,0,"R$ 261.914.000,00",261914000,"R$ 25.340.789,31",25340789.31,"R$ 227.713.170,17",227713170.17
1.1.1.3.03,Imposto sobre a Renda - Retido na Fonte,5,"R$ 17.353.395,47",17353395.47,"R$ 18.160.045,81",18160045.81,"R$ 261.914.000,00",261914000,"R$ 33.486,66",33486.66,"R$ 21.567.662,63",21567662.63,"R$ 15.131.776,83",15131776.83,"R$ 22.564.879,34",22564879.34,"R$ 26.536.108,64",26536108.64,"R$ 22.935.618,78",22935618.78,"R$ 21.047.084,37",21047084.37,"R$ 18.612.088,04",18612088.04,"R$ 18.430.234,29",18430234.29,,0,"R$ 261.914.000,00",261914000,"R$ 25.340.789,31",25340789.31,"R$ 227.713.170,17",227713170.17
1.1.1.3.03.1,Imposto sobre a Renda - Retido na Fonte - Trabalho,6,"R$ 17.312.001,80",17312001.8,"R$ 18.105.597,18",18105597.18,"R$ 261.914.000,00",261914000,"R$ 33.486,66",33486.66,"R$ 21.531.744,98",21531744.98,"R$ 15.075.689,53",15075689.53,"R$ 22.495.137,26",22495137.26,"R$ 26.483.575,09",26483575.09,"R$ 22.889.467,42",22889467.42,"R$ 20.959.526,43",20959526.43,"R$ 18.565.594,10",18565594.1,"R$ 18.347.971,35",18347971.35,,0,"R$ 261.914.000,00",261914000,"R$ 25.205.028,13",25205028.13,"R$ 227.004.819,93",227004819.93
1.1.1.3.03.1.1,Imposto sobre a Renda - Retido na Fonte - Trabalho - Principal,7,"R$ 17.312.001,80",17312001.8,"R$ 18.105.597,18",18105597.18,"R$ 261.914.000,00",261914000,"R$ 33.486,66",33486.66,"R$ 21.531.744,98",21531744.98,"R$ 15.075.689,53",15075689.53,"R$ 22.495.137,26",22495137.26,"R$ 26.483.575,09",26483575.09,"R$ 22.889.467,42",22889467.42,"R$ 20.959.526,43",20959526.43,"R$ 18.565.594,10",18565594.1,"R$ 18.347.971,35",18347971.35,,0,"R$ 261.914.000,00",261914000,"R$ 25.205.028,13",25205028.13,"R$ 227.004.819,93",227004819.93
1.1.1.3.03.1.1.10,Imposto sobre a Renda - Retido na Fonte - Trabalho - Principal,8,"R$ 17.312.001,80",17312001.8,"R$ 18.105.597,18",18105597.18,"R$ 261.914.000,00",261914000,"R$ 33.486,66",33486.66,"R$ 21.531.744,98",21531744.98,"R$ 15.075.689,53",15075689.53,"R$ 22.495.137,26",22495137.26,"R$ 26.483.575,09",26483575.09,"R$ 22.889.467,42",22889467.42,"R$ 20.959.526,43",20959526.43,"R$ 18.565.594,10",18565594.1,"R$ 18.347.971,35",18347971.35,,0,"R$ 261.914.000,00",261914000,"R$ 25.205.028,13",25205028.13,"R$ 227.004.819,93",227004819.93
1.1.1.3.03.1.1.10.01,PMS ESTATUTARIOS,9,"R$ 12.765.041,66",12765041.66,"R$ 12.746.664,19",12746664.19,"R$ 157.068.000,00",157068000,"R$ 0,00",0,"R$ 11.984.718,89",11984718.89,"R$ 10.012.347,68",10012347.68,"R$ 12.754.411,22",12754411.22,"R$ 12.805.764,79",12805764.79,"R$ 12.850.622,49",12850622.49,"R$ 12.361.679,90",12361679.9,"R$ 13.664.239,07",13664239.07,"R$ 12.952.304,74",12952304.74,,0,"R$ 157.068.000,00",157068000,"R$ 13.640.587,81",13640587.81,"R$ 138.538.382,44",138538382.44
1.1.1.3.03.1.1.10.02,PMS CELETISTAS,9,"R$ 38.704,40",38704.4,"R$ 41.492,21",41492.21,"R$ 794.000,00",794000,"R$ 0,00",0,"R$ 39.193,97",39193.97,"R$ 37.860,69",37860.69,"R$ 42.712,19",42712.19,"R$ 36.410,75",36410.75,"R$ 42.115,88",42115.88,"R$ 40.437,38",40437.38,"R$ 37.410,91",37410.91,"R$ 39.971,11",39971.11,,0,"R$ 794.000,00",794000,"R$ 38.427,02",38427.02,"R$ 434.736,51",434736.51
1.1.1.3.03.1.1.10.03,CMS,9,"R$ 528.165,08",528165.08,"R$ 568.472,79",568472.79,"R$ 5.206.000,00",5206000,"R$ 0,00",0,"R$ 539.568,96",539568.96,"R$ 459.924,14",459924.14,"R$ 516.275,75",516275.75,"R$ 536.707,96",536707.96,"R$ 1.041.438,18",1041438.18,"R$ 0,00",0,"R$ 1.140.962,93",1140962.93,"R$ 1.206.056,82",1206056.82,,0,"R$ 5.206.000,00",5206000,"R$ 0,00",0,"R$ 6.537.572,61",6537572.61
1.1.1.3.03.1.1.10.04,IPREV,9,"R$ 0,00",0,"R$ 0,00",0,"R$ 81.820.000,00",81820000,"R$ 0,00",0,"R$ 4.958.701,82",4958701.82,"R$ 0,00",0,"R$ 5.436.116,80",5436116.8,"R$ 9.526.405,47",9526405.47,"R$ 5.532.845,05",5532845.05,"R$ 5.545.876,52",5545876.52,"R$ 0,00",0,"R$ 0,00",0,,0,"R$ 81.820.000,00",81820000,"R$ 5.509.981,76",5509981.76,"R$ 36.509.927,42",36509927.42
1.1.1.3.03.1.1.10.05,IRRF-PRESTACAO DE SERVICOS,9,"R$ 3.941.581,97",3941581.97,"R$ 3.502.020,00",3502020,"R$ 12.359.000,00",12359000,"R$ 33.486,66",33486.66,"R$ 3.715.186,78",3715186.78,"R$ 4.192.994,55",4192994.55,"R$ 3.635.394,26",3635394.26,"R$ 3.557.334,84",3557334.84,"R$ 3.385.391,61",3385391.61,"R$ 2.972.796,70",2972796.7,"R$ 3.154.943,23",3154943.23,"R$ 3.697.199,07",3697199.07,,0,"R$ 12.359.000,00",12359000,"R$ 4.740.678,04",4740678.04,"R$ 40.529.007,71",40529007.71
1.1.1.3.03.1.1.10.06,IRRF - CAPEP,9,"R$ 0,00",0,"R$ 0,00",0,"R$ 4.667.000,00",4667000,"R$ 0,00",0,"R$ 159.777,46",159777.46,"R$ 327.972,27",327972.27,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,"R$ 367.170,74",367170.74,"R$ 0,00",0,,0,"R$ 4.667.000,00",4667000,"R$ 1.068.214,53",1068214.53,"R$ 1.923.135,00",1923135
1.1.1.3.03.1.1.10.07,IRRF - LEVANTAMENTO DEPOSITO JUDICIAL,9,"R$ 0,00",0,"R$ 1.207.780,35",1207780.35,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,"R$ 49.072,84",49072.84,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,"R$ 155.591,12",155591.12,"R$ 444.769,67",444769.67,,0,"R$ 0,00",0,"R$ 150.962,33",150962.33,"R$ 2.008.176,31",2008176.31
1.1.1.3.03.1.1.10.08,IRRF - FOLHA FAMS,9,"R$ 13.787,15",13787.15,"R$ 13.748,96",13748.96,"R$ 0,00",0,"R$ 0,00",0,"R$ 22.358,33",22358.33,"R$ 25.023,36",25023.36,"R$ 13.748,96",13748.96,"R$ 14.988,91",14988.91,"R$ 13.748,96",13748.96,"R$ 14.152,48",14152.48,"R$ 27.497,92",27497.92,"R$ 7.669,94",7669.94,,0,"R$ 0,00",0,"R$ 0,00",0,"R$ 166.724,97",166724.97
