cnpj;ano;url_principal;vl_prestacao_servicos;vl_recursos_subvencoes_publicas;vl_recursos_contribuicoes_publicas;vl_recursos_convenios_publicos;vl_recursos_auxi­lios_publicos;vl_recursos_termo_parceria;vl_doacoes_contribuicoes_custeio;vl_receita_convenios_saude_conveniados;vl_prest_servicos_saude_conveniados;vl_sus_sistema_unico_saude;vl_inscricoes_cursos_vestibulares;vl_servicos_educacionais;vl_taxa_mensalidades_contribuicoes;vl_contribuicao_empresas_mantenedoras;vl_doacoes_campanhas_patroci­nios;vl_recusos_internacionais;vl_bolsas_estudo_concedidas;vl_atendimento_gratuito;vl_descontos_comerciais_concedidos;vl_pis_receitas;vl_cofins_receitas;vl_icms_vendas;vl_iss_servicos;vl_vendas_canceladas;vl_outras_deducoes;vl_outras_receitas_operacionais;vl_descontos_obtidos;vl_rendalugueis_arrendamentos;vl_rendimentos_ti­tulos_aplicacoes_mercado_financeiro;vl_impostos_aplicacoes_financeiras;vl_outras_receitas_financeiras;vl_vendativo_permanente;vl_doacoes_receb_bens_mercadorias;vl_outras_receitas_nao_operacionais;vl_outras_receitas_nao_classificadas_anteriormente;vl_total_receitas;vl_salarios_funcionarios_(c/_vi­nculo_empregati­cio);vl_encargos_sociais_pessoal;vl_despesas_diversas_pessoal;vl_remuneracao_dirigentes;vl_encargos_sociais_dirigentes;vl_outros_encargos_sociais_compulsorios;vl_outras_despesas_pessoal;vl_recursos_humanos_externos_pessofi­sica;vl_recursos_humanos_externos_pessojuri­dica;vl_inss_servicos_prestados_por_terceiros;vl_outras_despesas_servicos_contratados;vl_custos_projetos;vl_agua_gas_energieletrica;vl_alugueis_pagos;vl_despesas_vei­culos;vl_diarias_viagens;vl_hospedagem;vl_passagens_aereas/rodoviarias;vl_telefone_fax_outras_despesas_comunicacoes;vl_publicacoes_tecnicas;vl_servicos_tecnicos_especializados;vl_despesas_informatica;vl_premios_seguros_contratados;vl_despesas_atividades_sociais_culturais;vl_outras_despesas_administrativas;vl_ensifundamental;vl_curso_superior;vl_estagiarios;vl_mestrados_doutorados_pos_doutorados;vl_outras_despesas_bolsas_estudo
52.256.054/0001-16;2006;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/6973/RelatorioCircunstanciado.html;0,00;0,00;0,00;0,00;0,00;0,00;22.790,12;0,00;0,00;0,00;0,00;0,00;75.370,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;36.350,00;0,00;0,00;0,00;0,00;0,00;0,00;100,00;134.610,12;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
58.269.515/0001-71;2012;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/124282/RelatorioCircunstanciado.html;0,00;689.673,66;178.863,64;34.319,76;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;8.721,68;168.052,70;87.419,70;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;68.665,53;0,00;0,00;0,00;0,00;0,00;0,00;20.168,50;0,00;510,50;1.256.395,67;643.374,48;213.506,54;0,00;0,00;0,00;0,00;50.807,49;0,00;0,00;0,00;0,00;0,00;30.311,25;0,00;2.674,32;0,00;0,00;0,00;4.073,39;0,00;21.850,74;0,00;2.691,04;0,00;224.680,70;0,00;0,00;0,00;0,00;0,00
68.018.050/0001-30;2012;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/124499/RelatorioCircunstanciado.html;0,00;0,00;0,00;1.402.578,72;0,00;0,00;235.877,07;0,00;0,00;0,00;0,00;0,00;0,00;0,00;175.775,62;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;14.510,17;0,00;0,00;0,00;0,00;0,00;11.175,96;1.839.917,54;730.789,59;102.894,79;144.981,91;0,00;0,00;0,00;60.775,11;0,00;0,00;0,00;0,00;0,00;31.942,76;0,00;7.469,34;0,00;0,00;0,00;14.272,39;0,00;0,00;8.675,70;3.304,09;0,00;58.206,57;0,00;0,00;0,00;0,00;0,00
58.218.215/0001-63;2012;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/125471/RelatorioCircunstanciado.html;0,00;1.132.552,74;0,00;0,00;0,00;0,00;75.657,89;0,00;0,00;0,00;0,00;0,00;34.675,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1.054.709,61;0,00;0,00;54.692,06;0,00;0,00;0,00;0,00;62.967,35;457.776,86;2.873.031,51;1.268.499,52;128.794,29;112.934,61;0,00;0,00;0,00;0,00;620,00;32.846,00;0,00;0,00;545.480,91;25.567,90;50.800,46;20.870,34;0,00;0,00;0,00;43.913,16;0,00;198.720,00;375,80;7.047,12;0,00;319.787,44;0,00;0,00;0,00;0,00;0,00
58.198.524/0001-19;2012;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/126346/RelatorioCircunstanciado.html;0,00;3.927.606,24;0,00;0,00;0,00;0,00;0,00;54.464.872,51;250.846.660,07;0,00;0,00;0,00;0,00;0,00;3.401.062,21;0,00;0,00;404.213,98;0,00;0,00;0,00;0,00;0,00;0,00;3.683.980,36;8.036.063,98;2.092.455,26;6.488.660,16;1.385.507,84;0,00;1.622.720,54;19.500,00;0,00;0,00;0,00;328.196.914,47;59.488.956,30;0,00;20.252.423,22;0,00;0,00;0,00;18.568.540,30;34.649.018,45;41.589.770,99;0,00;28.143.461,66;0,00;5.142.043,02;1.169.380,32;12.148,29;182.908,48;0,00;0,00;912.403,12;0,00;0,00;709.355,35;812.279,33;0,00;2.275.853,05;0,00;0,00;83.635,00;0,00;0,00
58.238.866/0001-15;2012;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/126655/RelatorioCircunstanciado.html;0,00;0,00;0,00;1.088.443,57;3.348,00;0,00;15.264,00;0,00;0,00;128.295,83;0,00;0,00;77.240,40;15.625,20;209.517,96;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;224.851,87;520,00;3.950,00;2.956,87;0,00;0,00;0,00;0,00;0,00;0,00;1.770.013,70;661.823,13;99.924,95;128.931,95;0,00;0,00;0,00;23.315,99;11.280,68;9.482,00;0,00;0,00;0,00;31.012,54;0,00;8.538,27;117,76;0,00;0,00;9.910,73;0,00;0,00;5.177,00;1.075,94;75.181,08;306.264,88;0,00;0,00;3.591,00;0,00;0,00
58.247.503/0001-46;2012;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/126790/RelatorioCircunstanciado.html;0,00;830.209,26;0,00;188.330,00;0,00;29.510,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4.135,00;329.245,63;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,21;546.768,62;15.033,89;93,53;0,00;0,00;49.348,81;399.750,57;13.151,49;2.405.389,95;991.093,86;80.784,12;39.016,36;0,00;0,00;0,00;630,68;4.750,00;61.173,29;0,00;0,00;233.163,81;54.353,08;652,08;11.895,03;0,00;0,00;0,00;17.875,59;0,00;9.686,96;19.804,81;14.527,16;12.042,10;89.336,85;0,00;0,00;0,00;0,00;0,00
46.170.494/0001-53;2012;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/127124/RelatorioCircunstanciado.html;0,00;0,00;0,00;704.023,72;0,00;0,00;141.800,84;0,00;0,00;0,00;0,00;0,00;0,00;0,00;21.316,82;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2.013,37;0,00;0,00;0,00;0,00;0,00;0,00;869.154,75;302.912,21;33.061,03;65.149,11;0,00;0,00;0,00;7.513,90;0,00;0,00;0,00;0,00;0,00;9.020,70;0,00;0,00;0,00;0,00;0,00;4.737,61;0,00;0,00;2.417,25;0,00;0,00;18.165,83;0,00;0,00;0,00;0,00;0,00
64.042.740/0001-73;2012;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/127596/RelatorioCircunstanciado.html;0,00;952.758,28;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;87.304,36;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5.490,10;0,00;0,00;0,00;0,00;0,00;78.818,61;1.124.371,35;500.676,13;49.999,41;56.594,31;0,00;0,00;0,00;0,00;0,00;36.482,72;0,00;0,00;0,00;0,00;0,00;7.191,40;0,00;0,00;0,00;6.038,06;1.041,00;303.128,40;0,00;0,00;0,00;31.912,81;0,00;2.720,00;0,00;0,00;0,00
55.674.782/0001-36;2007;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/21840/RelatorioCircunstanciado.html;0,00;451.423,72;0,00;0,00;0,00;0,00;156.571,27;0,00;0,00;0,00;0,00;0,00;0,00;0,00;46.263,40;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;22,75;0,00;0,00;0,00;0,00;0,00;0,00;654.281,14;265.703,13;30.356,14;49.060,31;0,00;0,00;9.908,13;0,00;0,00;0,00;0,00;22.600,00;0,00;10.717,02;0,00;16.535,83;0,00;0,00;0,00;7.569,58;0,00;0,00;85,00;0,00;0,00;19.344,64;0,00;0,00;0,00;0,00;0,00
55.674.782/0001-36;2012;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/127976/RelatorioCircunstanciado.html;0,00;0,00;0,00;607.308,04;0,00;0,00;116.302,92;0,00;0,00;0,00;0,00;0,00;0,00;0,00;17.705,81;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;741.316,77;352.373,04;38.823,70;76.122,08;0,00;0,00;0,00;12.555,21;0,00;0,00;0,00;0,00;0,00;14.340,36;0,00;4.944,72;0,00;0,00;0,00;6.898,70;0,00;0,00;539,00;2.323,39;0,00;25.846,98;0,00;0,00;0,00;0,00;0,00
58.198.524/0001-19;2007;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/9907/RelatorioCircunstanciado.html;0,00;550.000,00;0,00;0,00;0,00;489.971,00;204.868,18;0,00;155.677.482,24;31.922.267,84;0,00;0,00;0,00;0,00;2.022.941,50;0,00;0,00;95.891,97;0,00;0,00;0,00;0,00;0,00;0,00;5.849.921,02;9.516.251,72;2.254.937,32;3.866.623,11;752.722,05;125.519,75;1.496.597,66;21.800,00;0,00;0,00;0,00;202.705.129,88;37.163.375,99;0,00;13.683.194,92;0,00;0,00;0,00;5.591.155,25;14.057.214,69;67.523.628,13;0,00;0,00;0,00;4.283.883,49;239.794,48;18.709,53;97.759,35;0,00;0,00;540.379,16;669.382,28;0,00;980.633,29;528.711,69;0,00;53.780.245,37;0,00;0,00;214.764,63;0,00;0,00
64.715.899/0001-01;2012;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/128627/RelatorioCircunstanciado.html;0,00;396.135,20;0,00;115.512,14;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;184.432,16;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;265,64;0,00;0,00;0,00;0,00;0,00;0,00;696.345,14;352.675,89;75.211,10;101.891,83;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;18.964,93;0,00;5.129,87;0,00;0,00;0,00;11.001,82;0,00;0,00;839,75;2.605,37;0,00;88.168,35;0,00;0,00;0,00;0,00;0,00
52.246.451/0001-07;2007;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/7815/RelatorioCircunstanciado.html;0,00;0,00;0,00;11.400,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;766.738,66;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;46.877,60;11.200,16;1.727,54;0,00;60.000,00;0,00;2.420,79;2.906,30;899.815,97;345.941,61;105.695,51;71.351,99;0,00;0,00;0,00;31.305,31;34.618,49;24.751,34;7.168,40;0,00;0,00;72.038,90;0,00;5.201,71;0,00;0,00;0,00;7.832,74;0,00;0,00;279,00;5.399,93;0,00;158.449,98;0,00;0,00;0,00;0,00;720,00
68.025.576/0001-47;2012;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/129552/RelatorioCircunstanciado.html;0,00;770.671,03;0,00;0,00;0,00;323.444,24;67.598,68;0,00;0,00;0,00;0,00;0,00;0,00;0,00;26.734,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1.710,00;0,00;0,00;1.680,40;0,00;0,00;15.000,00;0,00;3.759,00;0,00;1.210.597,85;686.629,44;61.499,59;0,00;0,00;0,00;0,00;0,00;2.950,00;0,00;0,00;0,00;269.573,50;0,00;0,00;0,00;1.719,07;0,00;0,00;24.431,67;0,00;15.600,00;0,00;9.921,95;0,00;22.640,41;0,00;0,00;0,00;0,00;0,00
58.251.711/0001-19;2012;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/129795/RelatorioCircunstanciado.html;1.564.688,13;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;495.470,09;105.715.307,96;189.521,05;0,00;3.300.179,84;0,00;20.572.149,68;0,00;0,00;0,00;0,00;0,00;4.220,00;1.049.463,12;1.780,35;0,00;13.855,76;414.912,40;11.201.701,81;0,00;1.577.763,86;10.246,61;0,00;0,00;1.219,68;102.857.254,04;42.352.300,69;4.413.807,21;1.371.765,36;0,00;0,00;0,00;2.702.808,33;2.437.750,49;12.034.585,90;0,00;0,00;5.952.138,24;1.943.566,44;4.707.062,52;162.351,99;177.584,55;0,00;0,00;511.836,78;234.994,51;0,00;116.453,40;0,00;569.377,74;2.119.896,38;0,00;0,00;0,00;0,00;0,00
10.227.433/0001-38;2012;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/131441/RelatorioCircunstanciado.html;110.124,40;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;7.736,22;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;102.388,18;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;73.522,24;0,00;0,00;0,00;0,00;0,00
66.505.017/0001-09;2012;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/132527/RelatorioCircunstanciado.html;0,00;0,00;0,00;1.087.138,16;0,00;0,00;478.651,16;0,00;0,00;0,00;0,00;0,00;0,00;0,00;108.430,10;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1.807,88;0,00;0,00;0,00;0,00;0,00;0,00;1.676.027,30;582.607,20;241.257,21;164.445,08;0,00;0,00;0,00;45.219,99;0,00;0,00;0,00;0,00;0,00;8.879,93;113.296,86;0,00;0,00;0,00;0,00;17.404,10;0,00;0,00;39.783,47;380,24;0,00;25.254,52;0,00;0,00;0,00;0,00;0,00
11.043.826/0001-54;2012;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/132846/RelatorioCircunstanciado.html;12.214,70;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;12.214,70;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;12.214,70;0,00;0,00;0,00;0,00;0,00;0,00
55.674.030/0001-75;2012;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/133194/RelatorioCircunstanciado.html;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;61.554,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;331.124,83;0,00;158.224,03;0,00;0,00;0,00;0,00;550.902,86;63.443,44;39.185,23;38.446,85;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3.026,98;0,00;0,00;0,00;0,00;0,00;4.305,58;0,00;44.914,22;19.531,56;0,00;1.312,91;20.018,45;0,00;0,00;0,00;0,00;280.498,95
15.321.633/0001-79;2012;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/133285/RelatorioCircunstanciado.html;0,00;0,00;0,00;0,00;0,00;0,00;688,55;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;688,55;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;64,31;0,00;0,00;0,00;0,00;0,00;570,70;0,00;0,00;0,00;0,00;0,00
60.015.070/0001-45;2007;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/8534/RelatorioCircunstanciado.html;0,00;0,00;0,00;287.172,77;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;9.539,44;0,00;112.878,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;13.795,63;0,00;0,00;423.385,84;207.822,86;17.111,23;11.525,84;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;38.172,92;0,00;15.552,74;0,00;0,00;0,00;4.468,89;0,00;0,00;10.850,59;0,00;13.738,50;0,00;0,00;0,00;0,00;0,00;0,00
