cnpj;ano;num_parceria;nm_orgao_entidade_parceira;nm_posicao_estrutura_adm;tp_ente_federado;tp_fonte_recursos;tp_instrumento_parceria;dt_publicacao;vl_recursos_previstos;vl_recursos_repassados;num_beneficiarios;dt_inicio_atividades;dt_fim_atividades;tx_objetivo_parceria
58.238.866/0001-15;2012;126655;FUNDO NACIONAL DO DESENVOLVIMENTO DA EDUCAÇÃO;Órgão Público do Poder Executivo;Federal;Federal;Convênio;24/09/2012;3.348,00;3.328,58;107;24/09/2012;30/12/2012;COMPRA DE EQUIPAMENTOS DE USO PEDAGÓGICO E REFORMA DE SALA DE AULA.
58.238.866/0001-15;2012;126655;PREFEITURA MUNICIPAL DE SANTOS;Órgão Público do Poder Executivo;Municipal;Federal;Convênio;15/12/2010;158.874,00;168.162,98;93;15/12/2011;14/12/2012;SERVIÇOS DE SAUDE AMBULATORIAIS E DE APOIO DIAGNÓSTICO E TERAPÊUTICO COMPLEMENTARES DO SISTEMA UNICO DE SAUDE.
58.238.866/0001-15;2012;126655;PREFEITURA MUNICIPAL DE SANTOS;Órgão Público do Poder Executivo;Municipal;Federal;Convênio;01/01/2012;46.626,00;44.540,25;50;01/01/2012;30/12/2012;PROJETO APAE-CIDADÃ:DESENVOLVENDO POTENCIALIDADES, FORTALECENDO VINCULOS.
58.238.866/0001-15;2012;126655;PREFEITURA MUNICIPAL DE SANTOS;Órgão Público do Poder Executivo;Municipal;Municipal;Convênio;01/01/2012;6.253,00;6.050,72;50;01/01/2012;30/12/2012;PROJETO APAE-CIDADÃ: DESENVOLVENDO POTENCIALIDADES, FORTALECENDO VINCULOS.
58.238.866/0001-15;2012;126655;PREFEITURA MUNICIPAL DE SANTOS;Órgão Público do Poder Executivo;Municipal;Municipal;Convênio;21/11/2011;67.786,90;73.068,87;50;01/01/2012;30/12/2012;EXECUÇÃO DO PROJETO ESTIMULAÇÃO PRECOCE E INCLUSÃO SOCIAL.
58.247.503/0001-46;2012;126790;Prefeitura Municipal de Santos;Empresa Pública;Municipal;Municipal;Convênio;01/01/2012;830.209,26;830.209,26;542;31/12/2011;30/12/2012;O presente Convênio tem por objetivo o estabelecimento de uma parceria entre o Município, por intermédio da Secretaria Municipal de Educação, e a Entidade, para o atendimento gratuito em Creche, Pré-Escola e Educação Integrada, visando o desenvolvimento socio-educativo das crianças e adolescentes residentes no Município de Santos.
58.247.503/0001-46;2012;126790;Prefeitura Municipal de Santos;Empresa Pública;Municipal;Municipal;Convênio;01/01/2012;63.000,00;57.750,00;70;01/01/2012;30/12/2012;Constitui objeto deste Convênio o desenvolvimento de atividades destinadas à prestação de serviços sócio assistenciais, compreendidos nas áreas da Proteção Social, cumprindo o plano de trabalho da Entidade, consoante com os objetivos da Assistência Social, dentro dos princípios e diretrizes da Lei Federal nº 8.742 de 07 de dezembro de 1993 - Lei Orgânica da Assistência Social da Política Nacional da Assistência Social - Sistema Único de Assistência Social, de acordo com o cronograma fisico-financeiro, mediante repasse de verbas oriundas do Fundo Municipal da Assitência Social.
58.247.503/0001-46;2012;126790;Prefeitura Municipal de Santos;Empresa Pública;Municipal;Municipal;Convênio;01/01/2012;127.080,00;116.490,00;335;01/01/2012;30/12/2012;Constitui objeto deste Convênio o desenvolvimento de atividades destinadas à prestação de serviços socioassistenciais, compreendidos nas áreas da Proteção Social, cumprindo o plano de trabalho da Entidade, consoante os objetivos da Assistência Social, dentro dos princípios e diretrizes da Lei Federal nº 8742, de 07 de dezembro de 1993 - Lei Orgânica da Assistência Social da Política Nacional da Assistência Social - Sistema Único de Assistência Social, de acordo com o cronograma fisico-financeiro, mediante repasse de verbas oriundas do Fundo Municipal de Assistência Social.
58.247.503/0001-46;2012;126790;Prefeitura Municipal de Santos;Empresa Pública;Municipal;Municipal;Convênio;02/01/2011;127.080,00;10.590,00;335;02/01/2011;02/01/2012;Constitui objeto deste Convênio o desenvolvimento de atividades destinadas à prestação de serviços sócio assistenciais, compreendido nas áreas de Proteção Social, voltado ao cumprimento do plano de trabalho da Entidade, consoante os objetivos da Assistência Social, dentro dos princípios e diretrizes da Lei Federal nº 8742, de 07 de dezembro de 1993 - Lei Orgânica da Assistência Social da Política Nacional da Assistência Social - Sistema Único de Assistência Social, de acordo com o cronograma físico-financeiro, mediante repasse de verbas oriundas do Fundo Municipal da Assistência Social.
46.170.494/0001-53;2012;127124;Prefeitura Municipal de Santos;Órgão Público do Poder Executivo;Municipal;Municipal;subvenção;20/12/2012;330.229,85;498.048,97;50;31/01/2012;14/12/2012;Temos convênio através da Secretaria de Educação e da Secretaria de saúde de Santos.
64.042.740/0001-73;2012;127596;Prefeitura Municipal de Santos;Órgão Público do Poder Executivo;Municipal;Municipal;Convênio;30/12/2010;952.758,28;952.758,28;103;01/01/2011;31/12/2011;Prestar atentimento gratuito à pessoas com multiplas deficiências e autismo
55.674.782/0001-36;2007;21840;Prefeitura Municipal de Santos;Órgão Público do Poder Executivo;Municipal;Municipal;Convênio;-;480.504,12;480.504,12;45;31/12/2006;30/12/2007;Atendimento mensal de quarenta e cinco portadores da Síndrome de Kanner (Autismo), nas áreas de pedagogia, educação física, fonoaudiologia, psicologia e serviço social.
55.674.782/0001-36;2012;127976;Prefeitura Municipal de Santos;Órgão Público do Poder Executivo;Municipal;Municipal;Convênio;-;607.308,04;607.308,04;51;01/01/2012;31/12/2012;Atendimento mensal de cinquenta e um portadores da Síndrome de Kanner (Autismo), nas áreas de pedagogia, educação física, fonoaudiologia, psicologia e serviço social.
58.198.524/0001-19;2007;9907;Governo Municipal;Órgão Público do Poder Executivo;Municipal;Municipal;Lei autorizativa;30/10/1997;600.000,00;550.000,00;-;08/08/2008;08/08/2008;Objetivo: auxiliar na manutenção das atividades e serviços prestados pelo hospital, que atende a maioria das pessoas carentes da nossa região.
58.198.524/0001-19;2007;9907;Governo Estadual;Órgão Público do Poder Executivo;Estadual;Estadual;Convênio;11/07/2007;400.000,00;289.971,00;-;08/08/2008;08/08/2008;Tem por objetivo a transferência de recursos financeiros, destinados a custeio.
58.198.524/0001-19;2007;9907;Governo Estadual;Órgão Público do Poder Executivo;Estadual;Estadual;Convênio;05/01/2008;200.000,00;200.000,00;-;08/08/2008;08/08/2008;Objetivo: Destinados para aquisição de equipamentos.
58.198.524/0001-19;2007;9907;Secretaria Estadual da Saúde;Órgão Público do Poder Executivo;Estadual;Estadual;Termo de Parceria;-;200.000,00;204.868,18;-;08/08/2008;08/08/2008;Tem por objetivo a transferência de recursos financeiros, destinados a custeio.
64.715.899/0001-01;2012;128627;Governo Estadual;Órgão Público do Poder Executivo;Estadual;Estadual;Convênio;02/01/2012;57.000,00;57.000,00;1020;02/01/2012;29/12/2012;A parceria foi realizada para possibilitar o desenvolvimento de programas sociais para os usuarios  que a entidade atende.Não há previsão de termino desta atividadeSobre o valor utilizado 4.750,00 foi referente a verba de 2011 recebida em 2012
64.715.899/0001-01;2012;128627;Secretaria Municipal de Educação- Prefeitura Municipal de santos;Órgão Público do Poder Executivo;Municipal;Municipal;Convênio;02/01/2012;404.076,00;396.135,20;138;02/01/2012;29/12/2012;Desenvolver serviços relacionados a Educação Infantil , Creche  e  CECON ,contrato com vigencia de janeiro  a dezembro de 2012
52.246.451/0001-07;2007;7815;Secretaria Municipal de Assistência Social;Órgão Público do Poder Executivo;Municipal;Municipal;Convênio;07/09/2007;14.400,00;11.400,00;20;07/09/2007;30/12/2007;Constitui objeto deste Convênio o desenvolvimento pela Entidade dos Programas Assistenciais, compreendidos na área de Atendimento à Família.
60.015.070/0001-45;2012;119076;Prefeitura Municipal de Santos/Secretaria de Educação;Órgão Público do Poder Executivo;Municipal;Municipal;Convênio;24/02/2012;371.154,90;371.154,90;185;08/01/2012;17/12/2012;Ref. ao Nº de Beneficiários: 160 crianças + 25 funcionários.Resumo do objetivo da Parceria: O presente convênio têm por objetivo o estabelecimento de uma parceria entre o Município e a Entidade, para o atendimento gratuito em Creche, Pré - Escola e Educação Infantil, visando o desenvolvimento sócio - educativo das crianças e adolescentes residentes no município.
68.025.576/0001-47;2012;129552;Prefeitura Municipal de Santos/Secretaria da Educação;Órgão Público do Poder Executivo;Municipal;Municipal;Convênio;02/01/2012;755.387,70;755.387,70;600;02/01/2012;31/12/2012;A Parceria com a SEDUC tem possibilitado a manutenção das atividades complementares à escola para 700 alunos da rede publica de Ensino que são atendidos diariamente em  seis bairros diferentes da Cidade.Além das atividades como esportes,musica, leitura,inclusão digital, teatro, dança, culinaria,etc oferecemos também duas refeições diarias, totalizando cerca de  330.000 refeições ano.Os alunos e seus familiares tem ainda o acompanhamento e  apoio socio assistencial por técnicos em assistencia social e psicologa.Esta parceria tem sido elogiada ano a ano e tem demonstrado-se eficaz no combate a evasão escolar e ao aumento no indice nutricional das crianças e adolescentes que
68.025.576/0001-47;2012;129552;CMDCA - Conselho Municipal da Criança e do Adolescente;Sociedade de Economia Mista;Municipal;Municipal;Convênio;11/02/2011;131.200,00;21.866,66;400;11/02/2011;10/05/2012;O Projeto PREVENIR tem como principal finalidade promover a conscientização das comunidades em situação de vulnerabilidade social, promovendo a educação em saúde voltada à prevenção do uso indevido de drogas e DST/Aids, visando a redução da vulnerabilidade dos adolescentes de baixa renda. As ações do projeto serão desenvolvidas nas comunidades onde estão nossas unidades de atendimentos: Centro, Morro da Penha, Areia Branca, Marapé, Bom Retiro e Caruara. As ações propostas estão perfeitamente de acordo com o Programa Estadual de DST/Aids e com o Plano Municipal de Ação em Defesa dos Direitos da Criança e do Adolescente.
68.025.576/0001-47;2012;129552;CMDCA - Conselho Municipal dos Direitos da Criança e do Adolescente;Sociedade de Economia Mista;Municipal;Municipal;Convênio;17/05/2012;85.000,00;62.083,35;600;17/05/2012;16/04/2013;O Projeto PROMOVER, tem o objetivo de realizar cursos profissionalizantes certificados pelo SENAI, que propiciem a aquisição pelo aluno das competências básicas ou complementares de um determinado perfil profissional, ampliando as possibilidades de acesso às atividades profissionais. Os cursos serão na área de Panificação Básica, Informática e Web Design. Não há registro de indicadores de demandas expressivas para o mercado de trabalho local, configurando-se essa programação predominante como estratégia de Educação para o Trabalho.
68.025.576/0001-47;2012;129552;Prefeitura Municipal de Santos/Secretaria de Ação Social;Órgão Público do Poder Executivo;Municipal;Municipal;Convênio;02/01/2012;14.400,00;14.400,00;250;02/01/2012;31/12/2012;"O Projeto CULTIVANDO O TRABALHO visa contribuir para a redução da pobreza e da desigualdade, a erradicação da fome e a promoção da autonomia e da inclusão social dos jovens e adolescentes integrantes de famílias em situação de vulnberabilidade social; integração das políticas públicas sociais voltadas a juventude e ações socioeducativas."
68.025.576/0001-47;2012;129552;Fundação Telefonica;Sociedade de Economia Mista;Estadual;Municipal;Convênio;03/03/2011;260.000,00;130.000,00;260;01/04/2011;01/03/2013;O Projeto Pro Menino tem como principal objetivo investir em ações contínuas e sistemáticas, com vistas à prevenção e a erradicação do trabalho infantil  promovendo meios que possam desencadear o processo de  inclusão social das crianças, adolescentes e famílias vulnerabilizadas, visando o seu fortalecimento e o desenvolvimento familiar e comunitário.
68.025.576/0001-47;2012;129552;Fundação Abrinq pelos Direitos da Criança e do Adolescente;Sociedade de Economia Mista;Estadual;Estadual;Convênio;20/06/2012;78.817,24;49.494,23;200;20/06/2012;19/05/2013;O projeto PROTEGER, tem como objetivo investir em ações continuas e sistemáticas com vistas à prevenção e erradicação do trabalho infantil, promovendo meios que possam desencadear o processo de inclusão social das crianças e adolescentes e famílias vulnerabilizadas, visando o seu fortalecimento e o desenvolvimento familiar e comunitário.
66.505.017/0001-09;2012;132527;PREFEITURA MUNICIPAL DE SANTOS;Órgão Público do Poder Executivo;Municipal;Municipal;Convênio;29/04/2013;650.387,52;650.387,52;100;05/02/2013;12/12/2013;TRATAMENTO
11.043.826/0001-54;2012;132846;Governo do Estado de São Paulo;Órgão Público do Poder Executivo;Estadual;Estadual;Incentivo Fiscal - ProAC-ICMS;26/09/2012;8.700,00;8.700,00;1500;26/09/2012;31/10/2012;Recebimento do proponente do projeto para realização da contrapartida social, a saber: produção e realização de 5 contações de histórias para crianças e adolescentes da rede pública e duas oficinas de contação de história para professores da rede pública.
60.015.070/0001-45;2007;8534;Prefeitura Municipal de Santos/Secretaria de Educação;Órgão Público do Poder Executivo;Municipal;Municipal;Convênio;20/03/2007;268.766,64;268.766,64;188;04/02/2007;19/12/2007;Ref. ao Nº de Beneficiários: 165 crianças + 23 funcionários.Resumo do objetivo da Parceria: O presente convênio têm por objetivo o estabelecimento de uma parceria entre o Município e a Entidade, para o atendimento gratuito em Creche, Pré - Escola e Educação Infantil, visando o desenvolvimento sócio - educativo das crianças e adolescentes residentes no município.
64.042.740/0001-73;2007;8775;Prefeitura Municipal de Santos;Órgão Público do Poder Executivo;Municipal;Municipal;Convênio;29/05/2008;153.848,16;153.848,16;65;29/05/2008;29/05/2008;Prestar atendimento educacional especial a pessoas com deficiências múltiplas e autismo.
52.246.451/0001-07;2012;133706;Secretaria Municipal da Assistência Social;Órgão Público do Poder Executivo;Municipal;Municipal;Convênio;22/01/2012;196.000,00;222.852,08;20;22/01/2012;21/01/2013;Este convênio tem por objeto o estabelecimento de parceria para a manutenção de serviço de antendimento a idosos em regime de abrigo.
51.642.288/0001-39;2012;134008;Prefeitura Municipal de Guarujá;Órgão Público do Poder Executivo;Municipal;Municipal;Convênio;02/03/2012;289.034,18;275.377,35;90;15/03/2004;30/12/2012;Manutenção da creche no atendimento educacional integral de crianças de 1 a 5 anos e 11 meses.
51.642.288/0001-39;2012;134008;Prefeitura Municipal de Santos;Órgão Público do Poder Executivo;Municipal;Municipal;Convênio;01/02/2012;326.545,40;320.384,90;100;01/01/2008;30/12/2012;Manutenção de creche no atendimento educacional integral de crianças de 1 a 5 anos e 11 meses.
51.642.288/0001-39;2012;134008;Prefeitura Municipal de Cubatão;Órgão Público do Poder Executivo;Municipal;Municipal;Convênio;29/07/2012;103.699,00;103.699,00;16;30/12/2007;30/12/2012;"Atendimento em regime residencial a idosas em condições de desamparo social. Oferecendo atendimento médico, de enfermagem, assistencial, cultural, entre outros; promovendo trabalhos educativos."
51.642.288/0001-39;2012;134008;Governo do Estado de São Paulo;Órgão Público do Poder Executivo;Estadual;Estadual;Subvenção Pública Estadual;29/07/2012;31.385,00;31.385,00;16;30/12/2007;30/12/2012;"Atendimento em regime residencial a idosas em condições de desamparo social. Oferecendo atendimento médico, de enfermagem, assistencial, cultural, entre outros; promovendo trabalhos educativos."
51.642.288/0001-39;2012;134008;Governo Federal;Órgão Público do Poder Executivo;Federal;Federal;Subvenção Pública Federal;29/07/2012;14.916,00;14.916,00;16;30/12/2007;30/12/2012;"Atendimento em regime residencial a idosas em condições de desamparo social. Oferecendo atendimento médico, de enfermagem, assistencial, cultural, entre outros; promovendo trabalhos educativos."
58.269.515/0001-71;2007;9434;Prefeitura Municipal de Santos/ Secretaria de Educação;Órgão Público do Poder Executivo;Municipal;Municipal;Convênio;20/03/2007;531.234,00;531.234,00;320;01/01/2007;30/12/2007;Tem por objetivo o estabelecimento de uma parceria  com o  municipio  por intermedio da Secretaria Municipal de Educação e a Entidade,  para atendimento gratuito em  creche , pré - escola e educação integral, visando o desenvolvimento sócio- educativo das crianças e adolescentes residentes no  municipio.
58.269.515/0001-71;2007;9434;Prefeitura Municipal de Santos - Secretaria de Assistência  e Desenvolvimento Social do Estado;Órgão Público do Poder Executivo;Estadual;Estadual;Convênio;02/03/2007;30.000,00;28.060,97;100;01/01/2007;30/12/2007;Constitui objeto deste convênio a transferencia de recursos financeiros do FNAS do municipio, destinados a execução descentralizada do Programa Estadual de Proteção Social - Básica e especial, apoiado pelo Estado de São Paulo, por sua Secretaria Estadual  de Assistência e Desenvolvimento Social, a ser executado diretamente pela entidade, consoante o Plano de Trabalho, composto por planilhas especificas contidos no Plano Municipal de Assitência Social, parte integrante deste ajuste, independente de transcrição, constituindo seu anexo I, devidamente aprovado pelo Conselho Municipal de Assistência Social.
58.269.515/0001-71;2007;9434;Prefeitura Municipal de Santos- Secretaria de Assistência Social/ Federal;Órgão Público do Poder Executivo;Federal;Federal;Convênio;14/06/2007;54.720,00;45.600,00;50;01/08/2007;30/12/2007;Constitui o objeto deste convênio o desenvolvimento pela entidade dos programas assistenciais, cpmpreendidos na  area de atendimento à família, observados os principios, objetivos, diretrizes da lei federal n° 8742, de 07 de dezembro  1993 -  Lei Orgânica de Assistência Social e na conformidade da política municipal de assistencia social, que receberá recursos do Fundo Municipal de Assistência Social, aprovados aos 5/06/2007, pelo Conselho Municipal de Assistência Social conforme publicação no diario oficial aos 14/06/07, e na resolução normativa 107/2007, que constituem parte instrumento  deste convênio.
58.269.515/0001-71;2007;9434;Secretaria de Assistência Social  - Fundo Municipal dos Direitos da Criança e adolescentes;Órgão Público do Poder Executivo;Municipal;Municipal;Convênio;08/08/2006;1.215,00;1.215,00;100;01/08/2006;07/04/2008;Execução do Projeto Inserção Digital, conforme  previsto e detalhado no projeto, seu  respectivo Plano de Trabalho é cronograma fisico - financeiro  mediante repasse, de verbas oriundas  do Fundo Municipal de Assistência Social
58.269.515/0001-71;2007;9434;Secretaria de Assistência Social  - Fundo Municipal dos Direitos da Criança e adolescentes;Órgão Público do Poder Executivo;Municipal;Municipal;Convênio;27/09/2007;7.740,00;7.740,00;150;21/09/2007;20/10/2010;A execução do Projeto Girassóis na Musica, e seu respectivo Plano de Trabalho, e cronograma Fisico - financeiro, mediante repasse de verbas, oriundas do Fundo Municipal dos Direitos da Criança e do Adolescente.
58.269.515/0001-71;2007;9434;Secretaria Municipal de Assistência Social - Fundo Municipal dos Direitos da Criança e do Adolescent;Órgão Público do Poder Executivo;Municipal;Municipal;Convênio;05/04/2007;20.000,00;20.000,00;320;03/04/2007;03/04/2008;A execução do projeto reforma do galpão , seu respectivo Plano de Trabalho e cronograma  fisico financeiro mediante repasse de verbas, oriundas do Fundo Municipal dos Direitos da Crianças e dos Adolescentes.
58.269.515/0001-71;2007;9434;Secretaria de Assitencia Social - Fundo Muncipal dos direitos da Criança e do Adolescente;Órgão Público do Poder Executivo;Municipal;Municipal;Convênio;22/02/2007;59.808,18;58.808,18;150;01/01/2007;30/12/2007;Trata-se de um conjunto de atividades recreativas, esportivas e educativas de complemento educacional e social para crianças e adolescentes em situação de risco social
58.257.023/0001-66;2007;22008;PREFEITURA MUNICIPAL DE SANTOS;Órgão Público do Poder Executivo;Municipal;Municipal;Convênio;31/01/2008;785.194,80;588.896,10;65;31/12/2007;30/12/2008;ATENDIMENTO EDUCACIONAL ESPECIALIZADO E GRATUÍTO ÀS CRIANÇAS, ADOLESCENTES E/OU ADULTOS, RESIDENTES NO MUNICIPIO DE SANTOS, PORTADORES DE NECESSIDADES EDUCATIVAS ESPECIAIS, VISANDO O DESENVOLVIMENTO DE SUAS CAPACIDADES FISICAS, SENSORIAIS E MENTAIS, EM PERÍODO INTEGRAL. REMUNERAÇÃO DE PESSOAL ESPECIALIZADO, AQUISIÇÕES DE MATERIAIS ESCOLARES, DESPESAS COM ALIMENTAÇÃO.
58.257.023/0001-66;2007;22008;PREFEITURA MUNICIPAL DE SANTOS;Órgão Público do Poder Executivo;Municipal;Federal;Convênio;15/02/2008;49.248,00;28.728,00;130;31/12/2007;30/12/2008;DESENVOLVIMENTO DE ATIVIDADES DESTINADAS À PRESTAÇÃO DE SERVIÇOS SÓCIO ASSISTENCIAIS, COMPREENDIDOS NAS ÁREAS DE PROTEÇÃO SOCIAL. REMUNERAÇÃO DE PROFISSIONAL DO SERVIÇO SOCIAL, AQUISIÇÃO DE MATERIAL PROFISSIONALIZANTE, PARA CURSOS MINISTRADOS QUE ATENDEM AS FAMILIAS DOS ALUNOS E COMUNIDADE CARENTE.
58.207.572/0001-26;2013;138176;Secretaria de Estado da Saúde;Órgão Público do Poder Executivo;Estadual;Estadual;Convênio;24/06/2010;2.277.000,00;2.258.596,59;128763;31/03/2010;28/02/2014;"Execução de atividades de atendimento para hemodinâmica, para o Centro de Tratamento das Malformações Crânio Faciais e para Fisioterapia especializada para os pacientes adultos, infantis e neonatos nas unidades de terapia intensiva do Hospital Guilherme Álvaro. Centro de Tratamento das Malformações Craniofaciais ""Mário Covas"" - 11.943 atendimentos. Serviço de Hemodinâmica - Vascular Neurológica e Cardíaca - 1748 atendimentos. Serviço  de Fisioterapia - UTI ADULTO, PEDIÁTRICA E NEONATAL - 115.072"
58.258.633/0001-84;2012;119844;SEDUC;Órgão Público do Poder Executivo;Municipal;Municipal;Convênio;02/01/2012;92.587,20;92.587,20;75;02/01/2012;31/12/2012;Atividades executadas mediante utilização de recursos públicos
58.258.633/0001-84;2012;119844;FMAS/SEAS;Órgão Público do Poder Executivo;Municipal;Municipal;Convênio;02/01/2012;57.750,00;57.750,00;70;02/01/2012;31/12/2012;Atividades executadas mediante utilização de recursos públicos
58.194.622/0001-88;2013;139886;Secretaria Municipal de Saúde;Empresa Pública;Municipal;Municipal;Convênio;25/10/2013;7.924.429,87;7.924.429,87;-;-;-;O presente Convênio tem por objeto integrar o Hospital no SUS e definir a sua inserção na rede regionalizada e hierarquia de ações e serviços de saúde, visando a garantia da atenção integral á saíde dos munícipes que integram a região de saúde na qual o Hospital está inserido.
64.715.899/0001-01;2013;139890;Secretaria Municipal de Educação- Prefeitura Municipal de santos;Órgão Público do Poder Executivo;Municipal;Municipal;Convênio;01/01/2013;338.236,80;309.581,76;110;01/01/2013;27/12/2013;Desenvolver serviços relacionados a Educação Infantil e Creche, contrato com vigência de janeiro  a dezembro de 2013
58.198.227/0001-73;2007;10599;SECRETARIA MUNICIPAL DE EDUCAÇÃO;Órgão Público do Poder Executivo;Municipal;Municipal;SUBVENÇÃO;13/02/2007;1.618.804,80;1.618.804,80;210;04/02/2007;18/12/2007;ATENDIMENTO ESPECIALIZADO NA ÀREA  DE EDUCAÇÃO E REABILITAÇÃO À PESSOAS  COM DEFICIÊNCIA VISUAL TOTAL E/OU  BAIXA VISÃO
58.198.227/0001-73;2007;10599;secretaria de ação social de guarujá;Órgão Público do Poder Executivo;Municipal;Municipal;subvenção;-;33.158,88;33.158,88;35;04/02/2007;18/12/2007;ATENDIMENTO ESPECIALIZADO NA ÀREA  DE EDUCAÇÃO E REABILITAÇÃO À PESSOAS  COM DEFICIÊNCIA VISUAL TOTAL E/OU  BAIXA VISÃO.
58.198.227/0001-73;2007;10599;secretaria de ação social de são vicente;Órgão Público do Poder Executivo;Municipal;Municipal;subvenção;-;20.000,00;20.000,00;210;04/02/2007;18/12/2007;ATENDIMENTO ESPECIALIZADO NA ÀREA  DE EDUCAÇÃO E REABILITAÇÃO À PESSOAS  COM DEFICIÊNCIA VISUAL TOTAL E/OU  BAIXA VISÃO
